vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,100,cnn,6,107.14959420000014,53.08000319999974,0.9914694894146949,0.9918438293889558,0.9898585535094743,0.990850197021305
Pt-BR_Word2Vec,100,cnn,7,80.37341650000008,71.78097500000013,0.9912826899128269,0.9883134130146083,0.9930611155591139,0.9906815761448349
Pt-BR_Word2Vec,100,cnn,8,80.6148435,43.172295100000156,0.9917808219178083,0.9925073588439925,0.9898585535094743,0.9911811865312667
Pt-BR_Word2Vec,100,cnn,9,92.96458990000019,52.48771130000023,0.9915940224159402,0.9905345953872817,0.9914598345342941,0.9909969989996665
Pt-BR_Word2Vec,300,cnn,0,269.22337600000003,127.34740550000004,0.9923412204234122,0.9921217786086259,0.9914598345342941,0.9917906961222719
Pt-BR_Word2Vec,300,cnn,1,221.4707277,131.9158136000001,0.9925902864259029,0.9925203686389742,0.9915932746196957,0.9920566050330418
Pt-BR_Word2Vec,300,cnn,2,221.03516400000012,135.35737070000005,0.9926525529265255,0.993048128342246,0.9911929543634908,0.9921196741017764
Pt-BR_Word2Vec,300,cnn,3,211.6660085000001,131.03745120000008,0.9925902864259029,0.992388836960876,0.9917267147050974,0.9920576653540679
Pt-BR_Word2Vec,300,cnn,4,222.43664569999987,136.77576249999993,0.9924034869240349,0.9926490243250468,0.9910595142780891,0.9918536324786325
Pt-BR_Word2Vec,300,cnn,5,222.4331975,130.82466430000022,0.9924657534246575,0.9923868037932416,0.9914598345342941,0.9919231025966224
Pt-BR_Word2Vec,300,cnn,6,229.85894989999997,137.23187430000007,0.9922166874221668,0.9917256105698652,0.9915932746196957,0.9916594381797558
Pt-BR_Word2Vec,300,cnn,7,222.1463746000004,136.3740284999999,0.9923412204234122,0.993307455494579,0.9902588737656792,0.9917808219178081
Pt-BR_Word2Vec,300,cnn,8,222.2244568000001,141.17292080000016,0.9926525529265255,0.9922584089695675,0.9919935948759008,0.9921259842519685
Pt-BR_Word2Vec,300,cnn,9,223.22931740000013,131.64099220000026,0.9925902864259029,0.9921259842519685,0.9919935948759008,0.9920597851471276
Pt-BR_Word2Vec,600,cnn,0,442.0597021000003,219.6221688000005,0.9922789539227895,0.9919893190921228,0.9914598345342941,0.9917245061398825
Pt-BR_Word2Vec,600,cnn,1,402.77396110000063,214.45502769999985,0.9926525529265255,0.9933119315141787,0.9909260741926875,0.992117568470274
Pt-BR_Word2Vec,600,cnn,2,417.7920555999999,215.67924810000022,0.9927148194271482,0.9931809065383073,0.9911929543634908,0.9921859346824283
Pt-BR_Word2Vec,600,cnn,3,408.2454748,219.29664030000004,0.9928393524283935,0.9923929000400373,0.992260475046704,0.9923266831253752
Pt-BR_Word2Vec,600,cnn,4,403.44643540000015,219.23824089999925,0.9924657534246575,0.9912058627581612,0.992660795302909,0.9919327955197013
Pt-BR_Word2Vec,600,cnn,5,401.7327601999996,218.2216553999997,0.9929016189290162,0.9923939151321057,0.9923939151321057,0.9923939151321057
Pt-BR_Word2Vec,600,cnn,6,401.9440515999995,223.30743679999978,0.9925280199252802,0.9933101418249933,0.9906591940218842,0.991982896846606
